Accuracy 98.4% on test set
Notice that Devnagari has 68,757 instances with 111 output classes while
Telugu has only 45,217 instances and significantly more output classes.  This
can explain the differences in their results for this architecture.
Instance 82 in val 5201 wrong: actual 45 predicted 46
Instance 87 in val 5201 wrong: actual 93 predicted 68
Instance 70 in val 5401 wrong: actual 8 predicted 45
Instance 159 in val 5401 wrong: actual 93 predicted 107
Instance 191 in val 5401 wrong: actual 14 predicted 12
Instance 108 in val 5601 wrong: actual 105 predicted 16
Instance 152 in val 5601 wrong: actual 24 predicted 17
Instance 173 in val 5601 wrong: actual 99 predicted 101
Instance 197 in val 5601 wrong: actual 52 predicted 85
Instance 130 in val 5801 wrong: actual 106 predicted 93
Instance 29 in val 6001 wrong: actual 37 predicted 91
Instance 36 in val 6001 wrong: actual 53 predicted 61
Instance 117 in val 6001 wrong: actual 8 predicted 45
Instance 82 in val 6201 wrong: actual 32 predicted 36
Instance 98 in val 6201 wrong: actual 92 predicted 67
Instance 140 in val 6201 wrong: actual 32 predicted 36
Instance 162 in val 6201 wrong: actual 65 predicted 14
Instance 30 in val 6401 wrong: actual 44 predicted 72
Instance 62 in val 6401 wrong: actual 37 predicted 83
Instance 93 in val 6401 wrong: actual 53 predicted 109
Instance 148 in val 6401 wrong: actual 99 predicted 17
Instance 169 in val 6401 wrong: actual 19 predicted 9
Instance 75 in val 6601 wrong: actual 53 predicted 49
Instance 85 in val 6601 wrong: actual 52 predicted 85
Instance 196 in val 6601 wrong: actual 19 predicted 16
Instance 25 in val 6801 wrong: actual 27 predicted 66
Instance 96 in val 6801 wrong: actual 64 predicted 39
Instance 39 in val 7001 wrong: actual 42 predicted 2
Instance 48 in val 7001 wrong: actual 66 predicted 15
Instance 119 in val 7001 wrong: actual 19 predicted 9
Instance 153 in val 7001 wrong: actual 19 predicted 16
Instance 12 in val 7201 wrong: actual 106 predicted 93
Instance 84 in val 7201 wrong: actual 54 predicted 56
Instance 104 in val 7201 wrong: actual 106 predicted 43
Instance 121 in val 7201 wrong: actual 63 predicted 47
Instance 145 in val 7201 wrong: actual 51 predicted 108
Instance 44 in val 7401 wrong: actual 24 predicted 66
Instance 66 in val 7401 wrong: actual 53 predicted 109
Instance 90 in val 7401 wrong: actual 61 predicted 1
Instance 106 in val 7401 wrong: actual 54 predicted 108
Instance 149 in val 7401 wrong: actual 102 predicted 33
Instance 155 in val 7401 wrong: actual 80 predicted 90
Instance 16 in val 7601 wrong: actual 19 predicted 16
Instance 2 in val 7801 wrong: actual 44 predicted 72
Instance 87 in val 7801 wrong: actual 30 predicted 28
Instance 56 in val 8001 wrong: actual 33 predicted 27
Instance 98 in val 8001 wrong: actual 45 predicted 46
Instance 143 in val 8001 wrong: actual 105 predicted 16
Instance 175 in val 8001 wrong: actual 99 predicted 17
Instance 56 in val 8201 wrong: actual 51 predicted 104
Instance 137 in val 8201 wrong: actual 109 predicted 53
Instance 175 in val 8201 wrong: actual 61 predicted 51
Instance 182 in val 8201 wrong: actual 1 predicted 108
Instance 5 in val 8401 wrong: actual 69 predicted 80
Instance 14 in val 8401 wrong: actual 93 predicted 107
Instance 67 in val 8401 wrong: actual 63 predicted 47
Instance 138 in val 8401 wrong: actual 35 predicted 20
Instance 48 in val 8601 wrong: actual 108 predicted 53
Instance 139 in val 8601 wrong: actual 39 predicted 33
Instance 83 in val 8801 wrong: actual 46 predicted 4
Instance 182 in val 8801 wrong: actual 51 predicted 104
Instance 11 in val 9001 wrong: actual 12 predicted 11
Instance 21 in val 9001 wrong: actual 99 predicted 101
Instance 74 in val 9001 wrong: actual 24 predicted 66
Instance 119 in val 9001 wrong: actual 73 predicted 91
Instance 137 in val 9001 wrong: actual 73 predicted 91
Instance 152 in val 9001 wrong: actual 5 predicted 12
Instance 20 in val 9201 wrong: actual 102 predicted 97
Instance 35 in val 9201 wrong: actual 14 predicted 12
Instance 183 in val 9201 wrong: actual 18 predicted 66
Instance 85 in val 9401 wrong: actual 83 predicted 75
Instance 92 in val 9401 wrong: actual 42 predicted 2
Instance 151 in val 9801 wrong: actual 105 predicted 16
Instance 1 in val 10001 wrong: actual 46 predicted 4
Instance 95 in val 10001 wrong: actual 77 predicted 73
Instance 112 in val 10001 wrong: actual 80 predicted 14
Instance 132 in val 10001 wrong: actual 103 predicted 105
Instance 47 in val 10201 wrong: actual 9 predicted 26
Instance 59 in val 10201 wrong: actual 38 predicted 87
Instance 82 in val 10201 wrong: actual 52 predicted 23
Instance 166 in val 10201 wrong: actual 19 predicted 9
Instance 4 in val 10401 wrong: actual 101 predicted 99
Instance 18 in val 10401 wrong: actual 27 predicted 43
Instance 20 in val 10401 wrong: actual 53 predicted 61
Instance 49 in val 10601 wrong: actual 31 predicted 66
Instance 53 in val 10601 wrong: actual 30 predicted 105
Instance 57 in val 10601 wrong: actual 54 predicted 105
Instance 168 in val 10601 wrong: actual 19 predicted 16
Instance 173 in val 10601 wrong: actual 35 predicted 20
Instance 200 in val 10601 wrong: actual 80 predicted 81
Instance 5 in val 10801 wrong: actual 9 predicted 26
Instance 53 in val 10801 wrong: actual 63 predicted 47
Instance 181 in val 10801 wrong: actual 63 predicted 84
Instance 102 in val 11001 wrong: actual 18 predicted 66
Instance 115 in val 11001 wrong: actual 80 predicted 14
Instance 128 in val 11001 wrong: actual 27 predicted 66
Instance 25 in val 11201 wrong: actual 75 predicted 101
Instance 36 in val 11201 wrong: actual 13 predicted 64
Instance 122 in val 11201 wrong: actual 30 predicted 100
Instance 158 in val 11201 wrong: actual 44 predicted 91
Instance 29 in val 11401 wrong: actual 9 predicted 91
Instance 90 in val 11401 wrong: actual 80 predicted 81
Instance 102 in val 11401 wrong: actual 12 predicted 11
Instance 125 in val 11401 wrong: actual 100 predicted 57
Instance 38 in val 11601 wrong: actual 43 predicted 89
Instance 62 in val 11801 wrong: actual 54 predicted 105
Instance 81 in val 11801 wrong: actual 9 predicted 91
Instance 8 in val 12001 wrong: actual 28 predicted 103
Instance 42 in val 12001 wrong: actual 42 predicted 21
Instance 125 in val 12001 wrong: actual 63 predicted 84
Instance 200 in val 12001 wrong: actual 53 predicted 49
Instance 36 in val 12201 wrong: actual 106 predicted 70
Instance 83 in val 12201 wrong: actual 5 predicted 12
Instance 125 in val 12201 wrong: actual 9 predicted 91
Instance 52 in val 12401 wrong: actual 9 predicted 91
Instance 58 in val 12401 wrong: actual 24 predicted 17
Instance 72 in val 12401 wrong: actual 106 predicted 93
Instance 79 in val 12401 wrong: actual 57 predicted 62
Instance 56 in val 12601 wrong: actual 1 predicted 61
Instance 86 in val 12601 wrong: actual 4 predicted 98
Instance 112 in val 12601 wrong: actual 15 predicted 107
Instance 145 in val 12601 wrong: actual 14 predicted 19
Instance 146 in val 12601 wrong: actual 76 predicted 82
Instance 180 in val 12601 wrong: actual 63 predicted 47
Instance 91 in val 12801 wrong: actual 13 predicted 64
Instance 123 in val 12801 wrong: actual 61 predicted 1
Instance 87 in val 13001 wrong: actual 100 predicted 67
Instance 121 in val 13001 wrong: actual 47 predicted 63
Instance 122 in val 13001 wrong: actual 53 predicted 61
Instance 61 in val 13201 wrong: actual 8 predicted 45
Instance 93 in val 13401 wrong: actual 18 predicted 66
Instance 108 in val 13601 wrong: actual 102 predicted 97
Instance 190 in val 13601 wrong: actual 54 predicted 108
Instance 196 in val 13601 wrong: actual 24 predicted 17
Instance 143 in val 13801 wrong: actual 53 predicted 61
Instance 17 in val 14001 wrong: actual 42 predicted 2
Instance 32 in val 14001 wrong: actual 64 predicted 39
Instance 54 in val 14001 wrong: actual 52 predicted 85
Instance 152 in val 14001 wrong: actual 98 predicted 43
Instance 199 in val 14001 wrong: actual 45 predicted 102
Instance 36 in val 14201 wrong: actual 24 predicted 17
Instance 122 in val 14201 wrong: actual 76 predicted 82
Instance 140 in val 14201 wrong: actual 66 predicted 15
Instance 175 in val 14201 wrong: actual 24 predicted 17
Instance 7 in val 14401 wrong: actual 9 predicted 26
Instance 12 in val 14401 wrong: actual 92 predicted 17
Instance 61 in val 14401 wrong: actual 31 predicted 66
Instance 67 in val 14401 wrong: actual 78 predicted 67
Instance 144 in val 14401 wrong: actual 1 predicted 61
Instance 194 in val 14401 wrong: actual 61 predicted 1
Instance 196 in val 14401 wrong: actual 101 predicted 99
Instance 62 in val 14601 wrong: actual 83 predicted 75
Instance 106 in val 14601 wrong: actual 78 predicted 67
Instance 115 in val 14601 wrong: actual 52 predicted 23
Instance 157 in val 14601 wrong: actual 28 predicted 103
Instance 84 in val 14801 wrong: actual 28 predicted 103
Instance 33 in val 15001 wrong: actual 93 predicted 68
Instance 90 in val 15001 wrong: actual 49 predicted 109
Instance 167 in val 15001 wrong: actual 108 predicted 53
Instance 194 in val 15001 wrong: actual 16 predicted 100
Instance 22 in val 15201 wrong: actual 102 predicted 18
Instance 47 in val 15201 wrong: actual 93 predicted 89
Instance 122 in val 15201 wrong: actual 39 predicted 33
Instance 137 in val 15401 wrong: actual 65 predicted 14
Instance 82 in val 15601 wrong: actual 14 predicted 19
Instance 86 in val 15601 wrong: actual 29 predicted 25
Instance 92 in val 15601 wrong: actual 92 predicted 17
Instance 152 in val 15601 wrong: actual 1 predicted 108
Instance 189 in val 15601 wrong: actual 92 predicted 17
Instance 81 in val 15801 wrong: actual 12 predicted 11
Instance 176 in val 15801 wrong: actual 63 predicted 47
Instance 179 in val 15801 wrong: actual 30 predicted 105
Instance 51 in val 16001 wrong: actual 99 predicted 101
Instance 158 in val 16001 wrong: actual 30 predicted 105
Instance 14 in val 16201 wrong: actual 53 predicted 61
Instance 55 in val 16201 wrong: actual 103 predicted 105
Instance 91 in val 16201 wrong: actual 102 predicted 18
Instance 133 in val 16201 wrong: actual 17 predicted 67
Instance 149 in val 16201 wrong: actual 102 predicted 18
Instance 48 in val 16401 wrong: actual 38 predicted 39
Instance 56 in val 16601 wrong: actual 43 predicted 4
Instance 70 in val 16601 wrong: actual 102 predicted 97
Instance 107 in val 16601 wrong: actual 45 predicted 102
Instance 68 in val 16801 wrong: actual 29 predicted 25
Instance 85 in val 16801 wrong: actual 100 predicted 67
Instance 93 in val 16801 wrong: actual 1 predicted 61
Instance 161 in val 16801 wrong: actual 57 predicted 62
Instance 183 in val 16801 wrong: actual 42 predicted 21
Instance 186 in val 16801 wrong: actual 101 predicted 99
Instance 111 in val 17001 wrong: actual 57 predicted 62
Instance 113 in val 17001 wrong: actual 39 predicted 33
Instance 134 in val 17001 wrong: actual 35 predicted 20
Instance 146 in val 17001 wrong: actual 69 predicted 80
Instance 171 in val 17001 wrong: actual 22 predicted 45
Instance 195 in val 17001 wrong: actual 42 predicted 2
Instance 6 in val 17201 wrong: actual 42 predicted 2
Instance 16 in val 17201 wrong: actual 99 predicted 101
Instance 30 in val 17201 wrong: actual 7 predicted 17
Instance 105 in val 17201 wrong: actual 98 predicted 43
Instance 125 in val 17201 wrong: actual 106 predicted 43
Instance 167 in val 17201 wrong: actual 27 predicted 43
Instance 17 in val 17401 wrong: actual 100 predicted 57
Instance 68 in val 17401 wrong: actual 52 predicted 23
Instance 169 in val 17401 wrong: actual 43 predicted 89
Instance 64 in val 17601 wrong: actual 33 predicted 27
Instance 34 in val 17801 wrong: actual 4 predicted 89
Instance 57 in val 17801 wrong: actual 49 predicted 109
Instance 163 in val 17801 wrong: actual 52 predicted 85
Instance 71 in val 18001 wrong: actual 42 predicted 2
Instance 80 in val 18001 wrong: actual 54 predicted 56
Instance 94 in val 18001 wrong: actual 103 predicted 105
Instance 107 in val 18001 wrong: actual 52 predicted 23
Instance 28 in val 18201 wrong: actual 16 predicted 100
Instance 60 in val 18201 wrong: actual 62 predicted 57
Instance 136 in val 18201 wrong: actual 27 predicted 43
Instance 39 in val 18401 wrong: actual 29 predicted 25
Instance 65 in val 18401 wrong: actual 54 predicted 56
Instance 81 in val 18401 wrong: actual 106 predicted 70
Instance 195 in val 18401 wrong: actual 66 predicted 15
Instance 127 in val 18601 wrong: actual 53 predicted 49
Instance 12 in val 19001 wrong: actual 7 predicted 17
Instance 26 in val 19001 wrong: actual 62 predicted 57
Instance 75 in val 19001 wrong: actual 109 predicted 53
Instance 82 in val 19001 wrong: actual 43 predicted 89
Instance 140 in val 19001 wrong: actual 9 predicted 32
Instance 143 in val 19001 wrong: actual 27 predicted 66
Instance 16 in val 19201 wrong: actual 77 predicted 73
Instance 31 in val 19201 wrong: actual 4 predicted 98
Instance 35 in val 19201 wrong: actual 73 predicted 91
Instance 61 in val 19201 wrong: actual 77 predicted 73
Instance 189 in val 19201 wrong: actual 109 predicted 53
Instance 81 in val 19401 wrong: actual 54 predicted 108
Instance 117 in val 19401 wrong: actual 38 predicted 87
Instance 127 in val 19401 wrong: actual 38 predicted 87
Instance 141 in val 19401 wrong: actual 14 predicted 12
Instance 143 in val 19401 wrong: actual 37 predicted 91
Instance 160 in val 19401 wrong: actual 102 predicted 97
Instance 104 in val 19601 wrong: actual 38 predicted 39
Instance 181 in val 19601 wrong: actual 38 predicted 39
Instance 21 in val 19801 wrong: actual 93 predicted 68
Instance 112 in val 19801 wrong: actual 100 predicted 57
Instance 116 in val 19801 wrong: actual 43 predicted 4
Instance 186 in val 19801 wrong: actual 51 predicted 104
Instance 22 in val 20001 wrong: actual 30 predicted 28
Instance 170 in val 20001 wrong: actual 80 predicted 90
Instance 15 in val 20201 wrong: actual 54 predicted 105
Instance 50 in val 20201 wrong: actual 95 predicted 108
Instance 77 in val 20201 wrong: actual 52 predicted 85
Instance 137 in val 20201 wrong: actual 47 predicted 63
Instance 15 in val 20401 wrong: actual 24 predicted 17
Instance 27 in val 20401 wrong: actual 9 predicted 91
Instance 181 in val 20401 wrong: actual 75 predicted 101
Instance 9 in val 20601 wrong: actual 75 predicted 101
  168     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0   191     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0   186     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0   165     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0   177     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0   174     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0   176     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0   196     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0   201     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0   193     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0   207     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     3     0     0     0     0     0     0   182     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0   207     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0     0   160     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0     0     0   204     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   178     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0 
    0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0   220     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   226     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0   185     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   190     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 
